uuid,full_name,owner,description,archived,fork,pushed_at,size,stargazers_count,open_issues_count,forks_count,subscribers_count,default_branch,last_synced_at,etag,topics,latest_commit_sha,homepage,language,has_issues,has_wiki,has_pages,mirror_url,source_name,license,status,scm,pull_requests_enabled,icon_url,created_at,updated_at,dependencies_parsed_at,dependency_job_id,html_url,previous_names,tags_count,template,template_full_name,repository_url,tags_url,releases_url,manifests_url,owner_url,download_url,metadata.files.readme,metadata.files.changelog,metadata.files.contributing,metadata.files.funding,metadata.files.license,metadata.files.code_of_conduct,metadata.files.threat_model,metadata.files.audit,metadata.files.citation,metadata.files.codeowners,metadata.files.security,metadata.files.support,metadata.files.governance,metadata.files.roadmap,metadata.files.authors,commit_stats.total_commits,commit_stats.total_committers,commit_stats.mean_commits,commit_stats.dds,commit_stats.last_synced_commit,commit_stats
621968531,NationalSecurityAgency/qgis-h3library-plugin,NationalSecurityAgency,QGIS plugin that installs the H3 library without having to 'pip install h3'.,False,False,2023-11-08T14:53:03.000Z,1106,3,0,0,4,main,2024-01-20T22:38:15.522Z,,"['geohash', 'h3', 'qgis']",,,C,True,,,,,gpl-2.0,,git,True,https://github.com/NationalSecurityAgency.png,2023-03-31T19:37:10.000Z,2024-01-20T22:38:15.523Z,,b5a25654-de42-4790-86a6-ff23ed8a42e7,https://github.com/NationalSecurityAgency/qgis-h3library-plugin,[],1.0,False,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/NationalSecurityAgency%2Fqgis-h3library-plugin,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/NationalSecurityAgency%2Fqgis-h3library-plugin/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/NationalSecurityAgency%2Fqgis-h3library-plugin/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/NationalSecurityAgency%2Fqgis-h3library-plugin/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/NationalSecurityAgency,https://codeload.github.com/NationalSecurityAgency/qgis-h3library-plugin/tar.gz/refs/heads/main,readme.md,,,,LICENSE,,,,,,,,,,,10.0,1.0,10.0,0.0,415e54584077db711bf4e4512496f60172e97f4a,
728069031,NationalSecurityAgency/rank-based-linkage,NationalSecurityAgency,,False,False,2024-01-20T19:28:05.000Z,328,2,0,0,4,main,2024-01-20T20:31:56.659Z,,[],,,Java,True,,,,,apache-2.0,,git,True,https://github.com/NationalSecurityAgency.png,2023-12-06T06:52:32.000Z,2024-01-11T16:57:55.000Z,2024-01-20T20:41:23.984Z,,https://github.com/NationalSecurityAgency/rank-based-linkage,['nationalsecurityagency/rank-based-linkage'],0.0,False,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/NationalSecurityAgency%2Frank-based-linkage,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/NationalSecurityAgency%2Frank-based-linkage/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/NationalSecurityAgency%2Frank-based-linkage/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/NationalSecurityAgency%2Frank-based-linkage/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/NationalSecurityAgency,https://codeload.github.com/NationalSecurityAgency/rank-based-linkage/tar.gz/refs/heads/main,README.md,,,,LICENSE.txt,,,,,,,,,,,,,,,,
116999027,NationalSecurityAgency/datawave,NationalSecurityAgency,"DataWave is an ingest/query framework that leverages Apache Accumulo to provide fast, secure data access.",False,False,2024-01-19T20:51:29.000Z,1079581,510,350,236,55,integration,2024-01-20T02:18:19.475Z,,"['accumulo', 'bigdata', 'hacktoberfest', 'java']",,https://code.nsa.gov/datawave,Java,True,,,,,apache-2.0,,git,True,https://github.com/NationalSecurityAgency.png,2018-01-10T19:05:58.000Z,2024-01-10T16:17:17.000Z,2023-12-15T19:23:24.425Z,8b3d1b29-7ff3-4c74-870e-9f8a909d18d8,https://github.com/NationalSecurityAgency/datawave,[],601.0,False,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/NationalSecurityAgency%2Fdatawave,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/NationalSecurityAgency%2Fdatawave/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/NationalSecurityAgency%2Fdatawave/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/NationalSecurityAgency%2Fdatawave/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/NationalSecurityAgency,https://codeload.github.com/NationalSecurityAgency/datawave/tar.gz/refs/heads/integration,README.md,,,,LICENSE,,,,,,,,,,,2552.0,62.0,41.16129032258065,0.7033699059561129,4be665cf49ea253ed5972abb047cd951ef3a0a64,
242767035,NationalSecurityAgency/skills-service,NationalSecurityAgency,SkillTree is a micro-learning gamification platform supporting the rapid integration of a gamified tool training approach into new and existing applications.,False,False,2024-01-19T20:18:05.000Z,390528,340,156,81,22,master,2024-01-19T22:02:16.455Z,,[],,https://skilltreeplatform.dev,Groovy,True,,,,,apache-2.0,,git,True,https://github.com/NationalSecurityAgency.png,2020-02-24T15:08:44.000Z,2024-01-19T18:11:32.000Z,2024-01-17T15:09:28.234Z,,https://github.com/NationalSecurityAgency/skills-service,[],83.0,False,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/NationalSecurityAgency%2Fskills-service,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/NationalSecurityAgency%2Fskills-service/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/NationalSecurityAgency%2Fskills-service/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/NationalSecurityAgency%2Fskills-service/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/NationalSecurityAgency,https://codeload.github.com/NationalSecurityAgency/skills-service/tar.gz/refs/heads/master,README.md,,CONTRIBUTING_IO.md,,LICENSE.txt,,,,,,,,,,,,,,,,
135743458,NationalSecurityAgency/emissary,NationalSecurityAgency,Distributed P2P Data-driven Workflow Framework,False,False,2024-01-19T17:05:25.000Z,19699,234,16,121,36,master,2024-01-19T18:30:56.531Z,,[],,,Java,True,,,,,apache-2.0,,git,True,https://github.com/NationalSecurityAgency.png,2018-06-01T17:02:18.000Z,2024-01-13T23:58:22.000Z,2023-10-10T18:48:47.683Z,96a23eaf-e64e-40e2-9c4c-aa2179c3d174,https://github.com/NationalSecurityAgency/emissary,[],54.0,False,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/NationalSecurityAgency%2Femissary,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/NationalSecurityAgency%2Femissary/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/NationalSecurityAgency%2Femissary/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/NationalSecurityAgency%2Femissary/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/NationalSecurityAgency,https://codeload.github.com/NationalSecurityAgency/emissary/tar.gz/refs/heads/master,README.md,,,,LICENSE,,,,,,SECURITY.md,,,,,,,,,,
62402740,NationalSecurityAgency/qgis-d3datavis-plugin,NationalSecurityAgency,QGIS D3 Date and Time Heatmap,False,False,2024-01-18T16:01:55.000Z,7510,127,0,56,25,master,2024-01-19T16:53:43.524Z,,[],,,Python,True,,,,,gpl-2.0,,git,True,https://github.com/NationalSecurityAgency.png,2016-07-01T15:34:20.000Z,2023-12-05T19:01:54.000Z,2023-02-19T19:16:07.455Z,682e658f-170d-4c2b-a9c0-becdf2a60559,https://github.com/NationalSecurityAgency/qgis-d3datavis-plugin,[],2.0,False,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/NationalSecurityAgency%2Fqgis-d3datavis-plugin,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/NationalSecurityAgency%2Fqgis-d3datavis-plugin/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/NationalSecurityAgency%2Fqgis-d3datavis-plugin/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/NationalSecurityAgency%2Fqgis-d3datavis-plugin/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/NationalSecurityAgency,https://codeload.github.com/NationalSecurityAgency/qgis-d3datavis-plugin/tar.gz/refs/heads/master,README.md,,,,LICENSE,,,,,,,,,,,,,,,,
173228436,NationalSecurityAgency/ghidra,NationalSecurityAgency,Ghidra is a software reverse engineering (SRE) framework,False,False,2024-01-19T13:08:47.000Z,325418,45627,1483,5462,1004,master,2024-01-19T14:27:43.924Z,,"['disassembler', 'reverse-engineering', 'software-analysis']",,https://www.nsa.gov/ghidra,Java,True,,,,,apache-2.0,,git,True,https://github.com/NationalSecurityAgency.png,2019-03-01T03:27:48.000Z,2024-01-19T14:27:51.469Z,2023-09-29T15:33:01.409Z,ad0e5947-e017-499b-b8d5-eeb2a31dad5e,https://github.com/NationalSecurityAgency/ghidra,[],34.0,False,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/NationalSecurityAgency%2Fghidra,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/NationalSecurityAgency%2Fghidra/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/NationalSecurityAgency%2Fghidra/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/NationalSecurityAgency%2Fghidra/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/NationalSecurityAgency,https://codeload.github.com/NationalSecurityAgency/ghidra/tar.gz/refs/heads/master,README.md,,CONTRIBUTING.md,,LICENSE,,,,,,,,,,,5624.0,255.0,22.054901960784314,0.8326813655761024,78171efe3493b8b26b21eadbe11a43d35a9b82cb,
213710909,NationalSecurityAgency/datawave-metadata-utils,NationalSecurityAgency,,False,False,2024-01-19T04:36:37.000Z,765,9,7,17,12,main,2024-01-19T05:33:27.792Z,,['hacktoberfest'],,,Java,True,,,,,apache-2.0,,git,True,https://github.com/NationalSecurityAgency.png,2019-10-08T17:42:38.000Z,2023-08-30T08:52:24.000Z,2023-10-20T21:20:46.584Z,80d5230e-b217-4c9c-83a5-32fe637bb96a,https://github.com/NationalSecurityAgency/datawave-metadata-utils,[],38.0,False,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/NationalSecurityAgency%2Fdatawave-metadata-utils,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/NationalSecurityAgency%2Fdatawave-metadata-utils/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/NationalSecurityAgency%2Fdatawave-metadata-utils/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/NationalSecurityAgency%2Fdatawave-metadata-utils/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/NationalSecurityAgency,https://codeload.github.com/NationalSecurityAgency/datawave-metadata-utils/tar.gz/refs/heads/main,README.md,,,,LICENSE,,,,,,,,,,,,,,,,
242777342,NationalSecurityAgency/skills-client,NationalSecurityAgency,"SkillTree client libraries facilitating the rapid integration of a gamified tool training approach in conjunction with skills-service. Provides out of the box support for Angular, React, Vue.js, and native Javascript.",False,False,2024-01-18T20:24:52.000Z,152768,74,10,31,13,master,2024-01-19T04:45:01.385Z,,[],,https://skilltreeplatform.dev,JavaScript,True,,,,,apache-2.0,,git,True,https://github.com/NationalSecurityAgency.png,2020-02-24T15:53:03.000Z,2024-01-19T04:45:01.385Z,2023-02-10T17:30:49.184Z,ecfa593e-2f64-4912-bfef-dcec81138e0a,https://github.com/NationalSecurityAgency/skills-client,[],12.0,False,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/NationalSecurityAgency%2Fskills-client,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/NationalSecurityAgency%2Fskills-client/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/NationalSecurityAgency%2Fskills-client/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/NationalSecurityAgency%2Fskills-client/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/NationalSecurityAgency,https://codeload.github.com/NationalSecurityAgency/skills-client/tar.gz/refs/heads/master,README.md,,CONTRIBUTING_IO.md,,LICENSE.txt,,,,,,,,,,,1337.0,9.0,148.55555555555554,0.5901271503365744,26ba60cd64c0132c2e688a6f0554c96217079da5,
572215917,NationalSecurityAgency/datawave-ingest-services,NationalSecurityAgency,,False,False,2024-01-18T19:25:34.000Z,85855,5,1,4,11,master,2024-01-18T20:34:07.654Z,,[],,,Java,True,,,,,apache-2.0,,git,True,https://github.com/NationalSecurityAgency.png,2022-11-29T19:51:24.000Z,2024-01-10T16:17:12.000Z,2024-01-18T20:32:17.498Z,9c2ab12d-2df2-47a8-a9fe-bee9702900ce,https://github.com/NationalSecurityAgency/datawave-ingest-services,[],7.0,False,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/NationalSecurityAgency%2Fdatawave-ingest-services,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/NationalSecurityAgency%2Fdatawave-ingest-services/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/NationalSecurityAgency%2Fdatawave-ingest-services/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/NationalSecurityAgency%2Fdatawave-ingest-services/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/NationalSecurityAgency,https://codeload.github.com/NationalSecurityAgency/datawave-ingest-services/tar.gz/refs/heads/master,README.MD,,,,LICENSE,,,,,,,,,,,,,,,,
329999096,NationalSecurityAgency/qgis-datetimetools-plugin,NationalSecurityAgency,"QGIS conversion tools to display the local date, time, time zone, convert between UNIX time (Epoch), Julian dates, ISO8601, calculate the difference between two dates, select a location and time zone by clicking on the map and display the closet location and sun statistics.",False,False,2024-01-18T16:03:35.000Z,44721,16,0,8,9,master,2024-01-18T18:37:23.093Z,,"['date', 'dawn', 'dusk', 'noon', 'qgis', 'sun', 'time', 'timezone']",,,Python,True,,,,,gpl-2.0,,git,True,https://github.com/NationalSecurityAgency.png,2021-01-15T19:04:59.000Z,2024-01-18T18:37:23.093Z,2023-02-19T19:15:55.116Z,9cf993c1-cc39-4013-899b-fb22135dc67e,https://github.com/NationalSecurityAgency/qgis-datetimetools-plugin,[],10.0,False,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/NationalSecurityAgency%2Fqgis-datetimetools-plugin,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/NationalSecurityAgency%2Fqgis-datetimetools-plugin/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/NationalSecurityAgency%2Fqgis-datetimetools-plugin/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/NationalSecurityAgency%2Fqgis-datetimetools-plugin/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/NationalSecurityAgency,https://codeload.github.com/NationalSecurityAgency/qgis-datetimetools-plugin/tar.gz/refs/heads/master,readme.md,,,,LICENSE,,,,,,,,,,,,,,,,
734551026,NationalSecurityAgency/qgis-cotraveler-plugin,NationalSecurityAgency,,False,False,2024-01-18T13:24:28.000Z,385,0,0,1,5,main,2024-01-18T16:22:05.990Z,,[],,,Python,True,,,,,gpl-2.0,,git,True,https://github.com/NationalSecurityAgency.png,2023-12-22T01:29:40.000Z,2024-01-03T18:41:19.000Z,2024-01-03T19:45:58.544Z,13dc7f1d-3181-4209-ba74-a20b0d6c1f3c,https://github.com/NationalSecurityAgency/qgis-cotraveler-plugin,['nationalsecurityagency/qgis-cotraveler-plugin'],1.0,False,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/NationalSecurityAgency%2Fqgis-cotraveler-plugin,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/NationalSecurityAgency%2Fqgis-cotraveler-plugin/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/NationalSecurityAgency%2Fqgis-cotraveler-plugin/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/NationalSecurityAgency%2Fqgis-cotraveler-plugin/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/NationalSecurityAgency,https://codeload.github.com/NationalSecurityAgency/qgis-cotraveler-plugin/tar.gz/refs/heads/main,readme.md,,,,LICENSE,,,,,,,,,,,,,,,,
492392986,NationalSecurityAgency/datawave-spring-boot-starter-query-metric,NationalSecurityAgency,,False,False,2024-01-17T19:46:55.000Z,63,2,0,0,7,main,2024-01-18T03:31:18.578Z,,[],,,Java,True,,,,,apache-2.0,,git,True,https://github.com/NationalSecurityAgency.png,2022-05-15T05:09:23.000Z,2023-07-20T21:37:07.000Z,2023-02-19T08:00:58.398Z,7065d363-62e7-4823-a337-023923c4b0eb,https://github.com/NationalSecurityAgency/datawave-spring-boot-starter-query-metric,[],4.0,False,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/NationalSecurityAgency%2Fdatawave-spring-boot-starter-query-metric,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/NationalSecurityAgency%2Fdatawave-spring-boot-starter-query-metric/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/NationalSecurityAgency%2Fdatawave-spring-boot-starter-query-metric/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/NationalSecurityAgency%2Fdatawave-spring-boot-starter-query-metric/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/NationalSecurityAgency,https://codeload.github.com/NationalSecurityAgency/datawave-spring-boot-starter-query-metric/tar.gz/refs/heads/main,,,,,LICENSE,,,,,,,,,,,,,,,,
341993258,NationalSecurityAgency/datawave-query-metric-service,NationalSecurityAgency,,False,False,2024-01-17T20:03:54.000Z,945,6,6,12,8,main,2024-01-18T03:31:04.724Z,,[],,,Java,True,,,,,apache-2.0,,git,True,https://github.com/NationalSecurityAgency.png,2021-02-24T18:17:03.000Z,2023-12-25T02:50:21.000Z,2023-02-18T11:47:21.921Z,9e5dbacd-ff7e-42ea-a5a9-ef212cfa5381,https://github.com/NationalSecurityAgency/datawave-query-metric-service,[],64.0,False,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/NationalSecurityAgency%2Fdatawave-query-metric-service,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/NationalSecurityAgency%2Fdatawave-query-metric-service/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/NationalSecurityAgency%2Fdatawave-query-metric-service/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/NationalSecurityAgency%2Fdatawave-query-metric-service/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/NationalSecurityAgency,https://codeload.github.com/NationalSecurityAgency/datawave-query-metric-service/tar.gz/refs/heads/main,README.md,,,,LICENSE,,,,,,,,,,,,,,,,
213710880,NationalSecurityAgency/datawave-config-service,NationalSecurityAgency,,False,False,2024-01-17T19:44:47.000Z,48,3,1,10,9,main,2024-01-18T03:30:23.117Z,,['hacktoberfest'],,,Java,True,,,,,apache-2.0,,git,True,https://github.com/NationalSecurityAgency.png,2019-10-08T17:42:31.000Z,2023-07-20T21:49:31.000Z,2023-01-20T03:04:06.769Z,53277d03-db45-408a-834a-a59f07ba4aa3,https://github.com/NationalSecurityAgency/datawave-config-service,[],9.0,False,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/NationalSecurityAgency%2Fdatawave-config-service,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/NationalSecurityAgency%2Fdatawave-config-service/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/NationalSecurityAgency%2Fdatawave-config-service/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/NationalSecurityAgency%2Fdatawave-config-service/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/NationalSecurityAgency,https://codeload.github.com/NationalSecurityAgency/datawave-config-service/tar.gz/refs/heads/main,README.md,,,,LICENSE,,,,,,,,,,,,,,,,
60373386,NationalSecurityAgency/qgis-shapetools-plugin,NationalSecurityAgency,"Shape Tools creates geodesic shapes and includes a number of geodesic tools for QGIS including the XY to Line tool, geodesic densify tool, geodesic line break, geodesic measure tool, geodesic measurement layer, geodesic scale, rotate and translate tool, and digitize points at an azimuth & distance tools.",False,False,2024-01-17T17:15:45.000Z,4299,147,0,72,31,master,2024-01-18T01:00:12.343Z,,"['arc', 'azimuth', 'bearing', 'decimate', 'donut', 'ellipse', 'geodesic', 'pie', 'polyfoil', 'polygon', 'qgis', 'rose', 'xytoline']",,,Python,True,,,,,gpl-2.0,,git,True,https://github.com/NationalSecurityAgency.png,2016-06-03T19:43:25.000Z,2024-01-03T20:19:49.000Z,2023-01-20T07:15:43.509Z,27c4ba5e-8b94-4480-a21e-70f1f26f2cae,https://github.com/NationalSecurityAgency/qgis-shapetools-plugin,[],32.0,False,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/NationalSecurityAgency%2Fqgis-shapetools-plugin,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/NationalSecurityAgency%2Fqgis-shapetools-plugin/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/NationalSecurityAgency%2Fqgis-shapetools-plugin/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/NationalSecurityAgency%2Fqgis-shapetools-plugin/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/NationalSecurityAgency,https://codeload.github.com/NationalSecurityAgency/qgis-shapetools-plugin/tar.gz/refs/heads/master,readme.md,,,,LICENSE,,,,,,,,,,,,,,,,
145171161,NationalSecurityAgency/MADCert,NationalSecurityAgency,"Create root and intermediate Certificate Authorities, issue user and server certificates, etc. for testing purposes.",False,False,2022-07-05T15:21:58.000Z,124,90,0,37,10,main,2024-01-18T00:09:40.572Z,,[],,,JavaScript,True,,,,,other,,git,True,https://github.com/NationalSecurityAgency.png,2018-08-17T22:18:15.000Z,2024-01-18T00:09:40.573Z,2022-07-20T12:02:22.640Z,,https://github.com/NationalSecurityAgency/MADCert,[],13.0,False,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/NationalSecurityAgency%2FMADCert,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/NationalSecurityAgency%2FMADCert/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/NationalSecurityAgency%2FMADCert/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/NationalSecurityAgency%2FMADCert/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/NationalSecurityAgency,https://codeload.github.com/NationalSecurityAgency/MADCert/tar.gz/refs/heads/main,README.MD,,CONTRIBUTING_IO.md,,LICENSE.md,,,,,,,,,,,,,,,,
